gift_name,category,personality,interest_tags,recipient_type,recipient_group,occasion,price_band,description
Silk Scarf,Accessories,Traditional,Fashion Art,Female,Wife Sister,Anniversary Birthday,Medium,"Beautiful handwoven silk scarf in vibrant colors, perfect for adding elegance to any outfit"
Leather Wallet,Accessories,Professional,Business Travel,Male,Husband Boyfriend,Birthday Promotion,Low,"Premium leather wallet with RFID protection, ideal for the professional man"
Personalized Photo Frame,Home Decor,Sentimental,Family Memories,Anyone,Anyone,Anniversary Birthday,Low,"Custom photo frame with your favorite memory, adds a personal touch to home"
Artisan Incense Set,Home Fragrance,Spiritual,Wellness Meditation,Anyone,Anyone,Festival Housewarming,Low,"Natural incense sticks from Indian artisans with calming aromas"
Handmade Pottery Bowl,Home Decor,Creative,Art Craft,Anyone,Anyone,Housewarming Birthday,Medium,"Beautiful hand-thrown ceramic bowl perfect for home decoration or serving"
Chai Tea Gift Set,Food Beverage,Relaxed,Wellness Tea,Anyone,Anyone,Diwali Birthday,Low,"Premium Indian chai blends with spices and instructions for perfect brewing"
Yoga Mat,Sports Fitness,Health-conscious,Wellness Yoga,Anyone,Anyone,Birthday New Year,Medium,"Non-slip yoga mat with carrying strap, perfect for fitness enthusiasts"
Books Collection,Entertainment,Intellectual,Reading Knowledge,Anyone,Anyone,Birthday,Medium,"Set of popular Indian and international books across various genres"
Jewelry Box,Accessories,Elegant,Fashion Luxury,Female,Mother Sister,Birthday Anniversary,Medium,"Carved wooden jewelry box with compartments for organizing precious items"
Smartphone Stand,Tech Gadgets,Modern,Technology,Anyone,Anyone,Birthday Tech Lover,Low,"Adjustable phone stand for desk, perfect for work or entertainment"
Cooking Spice Set,Kitchen,Foodie,Cooking Food,Anyone,Anyone,Housewarming Birthday,Medium,"Essential Indian cooking spices in small premium bottles with recipe card"
Plant Planter,Home Decor,Nature Lover,Plants Gardening,Anyone,Anyone,Housewarming Birthday,Low,"Beautiful ceramic planter perfect for indoor plants and succulents"
Coffee Beans,Food Beverage,Coffee Lover,Beverage Specialty,Anyone,Anyone,Birthday,Low,"Premium single-origin Indian coffee beans for the perfect brew"
Silk Pillowcase,Home,Self-care,Wellness Beauty,Female,Wife Sister,Birthday Self-care,Medium,"Mulberry silk pillowcase for better skin and hair health"
Board Game,Entertainment,Social,Gaming Family,Anyone,Anyone,Birthday Family Time,Medium,"Fun strategy or cooperative board game perfect for family gatherings"
Essential Oil Diffuser,Home Fragrance,Wellness,Wellness Relaxation,Anyone,Anyone,Birthday Housewarming,Medium,"Ultrasonic diffuser with essential oils for aromatherapy at home"
Notebook Set,Stationery,Creative,Writing Art,Anyone,Anyone,Birthday Student,Low,"Handmade paper notebooks with beautiful covers, perfect for journaling or writing"
Wall Art Print,Home Decor,Artistic,Art Culture,Anyone,Anyone,Housewarming Birthday,Medium,"Beautiful Indian artwork print suitable for framing on walls"
Travel Pillow,Travel,Adventurous,Travel Adventure,Anyone,Anyone,Birthday Travel,Low,"Ergonomic neck pillow for comfortable travel on long flights or drives"
Marble Coasters,Home Decor,Elegant,Home Luxury,Anyone,Anyone,Housewarming,Low,"Set of decorative marble coasters to protect furniture in style"
Personalized Mug,Gifts,Fun,Personalization,Anyone,Anyone,Birthday,Low,"Custom mug with name, photo or funny message for daily use"
Organic Skincare Set,Beauty,Self-care,Beauty Wellness,Female,Anyone,Birthday,Medium,"Natural organic skincare products perfect for glowing skin"
Smartwatch Band,Tech Gadgets,Tech Savvy,Technology,Anyone,Anyone,Birthday,Low,"Stylish replacement bands for smartwatch in various colors"
Handmade Candle,Home Fragrance,Romantic,Wellness Ambiance,Anyone,Anyone,Anniversary Birthday,Low,"Soy wax candles with natural fragrances perfect for creating ambiance"
Meditation Cushion,Wellness,Spiritual,Meditation Yoga,Anyone,Anyone,Birthday Wellness,Medium,"Comfortable zafu cushion for meditation practice"
Gift Hamper,Multiple,Any,Any,Anyone,Anyone,Diwali Festival,High,"Luxury hamper with sweets, snacks and premium products"
Photography Book,Entertainment,Artistic,Photography Travel,Anyone,Anyone,Birthday,Medium,"Beautiful coffee table book showcasing Indian photography and landscape"
Wireless Charger,Tech Gadgets,Modern,Technology,Anyone,Anyone,Birthday,Low,"Fast wireless charging pad for smartphones and wearables"
String Lights,Home Decor,Romantic,Home Ambiance,Anyone,Anyone,Birthday Housewarming,Low,"Decorative LED string lights to brighten up any room"
Herbal Tea Collection,Food Beverage,Health Conscious,Wellness Tea,Anyone,Anyone,Wellness Gift,Low,"Assorted herbal teas with health benefits - chamomile, turmeric, etc"
Refrigerator Magnets,Gifts,Fun,Personalization,Anyone,Anyone,Birthday,Low,"Colorful Indian-themed refrigerator magnets"
Music Speaker,Tech Gadgets,Music Lover,Music Entertainment,Anyone,Anyone,Birthday,Medium,"Portable wireless speaker with great sound quality"
Perfume,Beauty,Elegant,Beauty Fashion,Anyone,Anyone,Anniversary Birthday,Medium,"Luxury perfume for daily wear or special occasions"
Indian Instrument,Entertainment,Musical,Music Art,Anyone,Anyone,Birthday,High,"Beginner-friendly Indian instrument like ukulele or sitar starter set"
Watch,Accessories,Professional,Fashion Luxury,Anyone,Anyone,Birthday Promotion,High,"Classic wristwatch suitable for professional or casual wear"
Lather Apron,Kitchen,Cooking,Cooking Culinary,Anyone,Anyone,Birthday,Low,"Quality leather apron for kitchen or woodworking hobbies"
Photo Album,Home,Memory,Family Memories,Anyone,Anyone,Anniversary,Medium,"Beautiful album to preserve and organize your favorite memories"
